No.,建屋,階,部屋名,部署,"分電盤
No.",分電盤名,"親分電盤
(あれば)","電力量計
あり/なし","ﾌﾞﾚｰｶ番号
(あれば)","電圧
200/100","相
3/1","ﾌﾞﾚｰｶ容量
A",負荷名,"ｹｰﾌﾞﾙ径
mm",備考,"電力量計
取付対象",線,型番,単価,必要CT数,小計,電力計,電力計単価,M5Stack,M5Stack単価
171.0,3-3,1.0,ﾎﾙﾀﾞ材料加工室,ﾎﾙﾀﾞ,1,M33-1K,,あり,,200,3.0,100,TSUNE,11,OFF,,3.0,,,,,,,,
172.0,3-3,1.0,ﾎﾙﾀﾞ材料加工室,ﾎﾙﾀﾞ,1,M33-1K,,あり,2,200,3.0,200,予備,なし,OFF,,3.0,,,,,,,,
173.0,3-3,1.0,ﾎﾙﾀﾞ材料加工室,ﾎﾙﾀﾞ,1,M33-1K,,あり,25,200,3.0,225,原料事務所動力盤,19,OFF,,3.0,,,,,,,,
174.0,3-3,1.0,ﾎﾙﾀﾞ材料加工室,ﾎﾙﾀﾞ,1,M33-1K,,あり,28,200,3.0,125,QTS200(ﾏｻﾞｯｸ),15,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
175.0,3-3,1.0,ﾎﾙﾀﾞ材料加工室,ﾎﾙﾀﾞ,1,M33-1K,,あり,,200,3.0,150,なし,なし,OFF,,3.0,,,,,,,,
176.0,3-3,1.0,ﾎﾙﾀﾞ特注加工室,ﾎﾙﾀﾞ,32,M33-1K-1,M33-1K,あり,,200,3.0,ﾌﾞﾚｰｶなし,主幹,20,,,3.0,,,,,,,,
177.0,3-3,1.0,ﾎﾙﾀﾞ特注加工室,ﾎﾙﾀﾞ,32,M33-1K-1,M33-1K,あり,ELB1,200,3.0,150,NVX5080#3,12.5,,,3.0,,,,,,,,
178.0,3-3,1.0,ﾎﾙﾀﾞ特注加工室,ﾎﾙﾀﾞ,32,M33-1K-1,M33-1K,あり,,200,3.0,100,3V-FC,12.5,,,3.0,,,,,,,,
179.0,3-3,1.0,ﾎﾙﾀﾞ特注加工室,ﾎﾙﾀﾞ,32,M33-1K-1,M33-1K,あり,,200,3.0,100,3VA,12.5,,,3.0,,,,,,,,
180.0,3-3,1.0,ﾎﾙﾀﾞ特注加工室,ﾎﾙﾀﾞ,32,M33-1K-1,M33-1K,あり,3,200,3.0,50,予備,なし,OFF,,3.0,,,,,,,,
181.0,3-3,1.0,ﾎﾙﾀﾞ特注加工室,ﾎﾙﾀﾞ,32,M33-1K-1,M33-1K,あり,4,200,3.0,50,予備,5,OFF,,3.0,,,,,,,,
182.0,3-3,1.0,ﾎﾙﾀﾞ特注加工室,ﾎﾙﾀﾞ,32,M33-1K-1,M33-1K,あり,5,200,3.0,50,ﾊﾞﾗﾝｼﾝｸﾞﾏｼﾝ,なし,OFF,,3.0,,,,,,,,
183.0,3-3,1.0,ﾎﾙﾀﾞ特注加工室,ﾎﾙﾀﾞ,32,M33-1K-1,M33-1K,あり,6,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
184.0,3-3,1.0,ﾎﾙﾀﾞ特注加工室,ﾎﾙﾀﾞ,32,M33-1K-1,M33-1K,あり,,200,3.0,50,空調ｴｱﾊﾝ運転盤,4,,,3.0,,,,,,,,
185.0,3-3,1.0,ﾎﾙﾀﾞ特注加工室,ﾎﾙﾀﾞ,32,M33-1K-1,M33-1K,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
318.0,3-3,1.0,ﾎﾙﾀﾞ旋削加工室→原料集中制御室,原料,8,M33-1L,,あり,,200,3.0,900,ｱﾄﾗｲﾀ電源盤(主幹),22,2本,,3.0,,,,,,,,
319.0,3-3,1.0,ﾎﾙﾀﾞ旋削加工室→原料集中制御室,原料,8,M33-1L,,あり,,200,3.0,150,ｱﾄﾗｲﾀ1(AT3),16,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
320.0,3-3,1.0,ﾎﾙﾀﾞ旋削加工室→原料集中制御室,原料,8,M33-1L,,あり,,200,3.0,150,ｱﾄﾗｲﾀ2(AT4),16,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
321.0,3-3,1.0,ﾎﾙﾀﾞ旋削加工室→原料集中制御室,原料,8,M33-1L,,あり,,200,3.0,150,ｱﾄﾗｲﾀ3(AT5),16,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
322.0,3-3,1.0,ﾎﾙﾀﾞ旋削加工室→原料集中制御室,原料,8,M33-1L,,あり,,200,3.0,150,ｱﾄﾗｲﾀ4(AT6),16,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
323.0,3-3,1.0,ﾎﾙﾀﾞ旋削加工室→原料集中制御室,原料,8,M33-1L,,あり,,200,3.0,40,ｱﾄﾗｲﾀ15S,6,,1.0,3.0,M-NCT-5A/50A,2880.0,2.0,5760.0,,,,
324.0,3-3,1.0,ﾎﾙﾀﾞ旋削加工室→原料集中制御室,原料,8,M33-1L,,あり,,200,3.0,150,ｱﾄﾗｲﾀMA-60SE-X,16,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
325.0,3-3,1.0,ﾎﾙﾀﾞ旋削加工室→原料集中制御室,原料,8,M33-1L,,あり,,200,3.0,900,空き,,,,3.0,,,,,,,,
326.0,3-3,1.0,原料集中制御室,原料,5,M33-1N(A),,あり,,200,3.0,ﾌﾞﾚｰｶなし,主幹,28,,,3.0,,,,,,,,
327.0,3-3,1.0,原料集中制御室,原料,5,M33-1N(A),,あり,1,200,3.0,500,温水ﾋｰﾀ装置動力盤,19,2本,1.0,3.0,KM-NCT-600A,5200.0,2.0,10400.0,,,,
328.0,3-3,1.0,原料集中制御室,原料,5,M33-1N(A),,あり,2,200,3.0,300,洗浄温水ﾋｰﾀｰ装置,23,,1.0,3.0,KM-NCT-400A,5200.0,2.0,10400.0,,,,
329.0,3-3,1.0,原料集中制御室,原料,6,M33-1N(B),,あり,,200,3.0,ﾌﾞﾚｰｶなし,主幹,26,2本,,3.0,,,,,,,,
330.0,3-3,1.0,原料集中制御室,原料,6,M33-1N(B),,あり,24,200,3.0,400,ｽﾌﾟﾚｰ原液ﾎﾟﾝﾌﾟ動力盤,20.3,,1.0,3.0,KM-NCT-400A,5200.0,2.0,10400.0,,,,
331.0,3-3,1.0,原料集中制御室,原料,6,M33-1N(B),,あり,3,200,3.0,150,ｱﾄﾗｲﾀｰ制御盤(AT1),16.5,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
332.0,3-3,1.0,原料集中制御室,原料,6,M33-1N(B),,あり,4,200,3.0,150,ｱﾄﾗｲﾀｰ制御盤(AT2),16.5,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
333.0,3-3,1.0,原料集中制御室,原料,6,M33-1N(B),,あり,10,200,3.0,30,溶剤供給設備制御盤,4.5,,1.0,3.0,M-NCT-5A/50A,2880.0,2.0,5760.0,,,,
334.0,3-3,1.0,原料集中制御室,原料,6,M33-1N(B),,あり,12,200,3.0,30,ﾌﾞﾚﾝﾀﾞｰ電源盤,4.5,,1.0,3.0,M-NCT-5A/50A,2880.0,2.0,5760.0,,,,
335.0,3-3,1.0,原料集中制御室,原料,6,M33-1N(B),,あり,14,200,3.0,30,集中制御室ｴｱｺﾝ,4.5,,1.0,3.0,M-NCT-5A/50A,2880.0,2.0,5760.0,,,,
77.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,1,200,3.0,800,主幹,31,,,3.0,,,,,,,,
78.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,,200,3.0,30,焼き入れ設備排気ﾌｧﾝ電源盤,4,,1.0,3.0,M-NCT-5A/50A,2880.0,2.0,5760.0,,,,
79.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,1,200,3.0,175,ﾎﾙﾀﾞ測定室分電盤,8.5,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
80.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,2,200,3.0,175,NTX1000 1号機,15,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
81.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,,200,3.0,225,NTX1000 2号機,15,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
82.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,,200,3.0,225,NTX1000 3号機,15,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
83.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,,200,3.0,225,NTX1000 4号機,15,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
84.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,3,200,3.0,30,振動ﾊﾞﾚﾙ,4,OFF,,3.0,,,,,,,,
85.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,7,200,3.0,20,なし,6,OFF,,3.0,,,,,,,,
86.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,,200,1.0,30,SiRONF904,5,,1.0,2.0,M-NCT-5A/50A,2880.0,1.0,2880.0,,,,
87.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,9,200,3.0,30,洗浄機,4,,1.0,3.0,M-NCT-5A/50A,2880.0,2.0,5760.0,,,,
88.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,10,200,3.0,30,戻し機,4,,1.0,3.0,M-NCT-5A/50A,2880.0,2.0,5760.0,,,,
89.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,,200,3.0,75,NTX1000ﾛｰﾀﾞｰ,9.5,,1.0,3.0,KM-NCT-100A,3220.0,2.0,6440.0,,,,
90.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3,M33-1W,,あり,6,200,3.0,250,なし,なし,OFF,,3.0,,,,,,,,
91.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,,M33-1W-1盤,M33-1W,あり,MCB21,200,3.0,225,主幹,15,,1.0,3.0,KM-NCT-225A,3900.0,2.0,7800.0,,,,
92.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,,M33-1W-1盤,M33-1W,あり,,200,3.0,75,なし,なし,OFF,,3.0,,,,,,,,
93.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,,M33-1W-1盤,M33-1W,あり,,200,3.0,75,なし,なし,OFF,,3.0,,,,,,,,
94.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,,M33-1W-1盤,M33-1W,あり,,200,3.0,60,NV2400R,9.5,,,3.0,,,,,,,,
95.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,,M33-1W-1盤,M33-1W,あり,,200,3.0,50,NV1200S,9.5,,,3.0,,,,,,,,
96.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,,M33-1W-1盤,M33-1W,あり,,200,3.0,50,S700X1#1,5.5,,,3.0,,,,,,,,
97.0,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,,M33-1W-1盤,M33-1W,あり,,200,3.0,15,なし,なし,OFF,,3.0,,,,,,,,
439.0,3-3,2.0,廊下,CBN,25,M33-2A,,なし,,200,3.0,30,主幹,4.5,,1.0,3.0,M-NCT-5A/50A,2880.0,2.0,5760.0,,,,
440.0,3-3,2.0,廊下,CBN,25,M33-2A,,なし,,200,3.0,15,換気扇No1,3.5,,,3.0,,,,,,,,
441.0,3-3,2.0,廊下,CBN,25,M33-2A,,なし,,200,3.0,15,換気扇No2,3.5,,,3.0,,,,,,,,
442.0,3-3,2.0,廊下,CBN,25,M33-2A,,なし,,200,3.0,15,換気扇No3,3.5,,,3.0,,,,,,,,
443.0,3-3,2.0,廊下,CBN,25,M33-2A,,なし,,200,3.0,20,自動制御盤,3.5,,,3.0,,,,,,,,
444.0,3-3,2.0,廊下,CBN,25,M33-2A,,なし,,200,1.0,15,操作電源･警報電源,3,,,2.0,,,,,,,,
481.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,400,ﾜｲﾔｰ加工室電源盤 洗浄機盤 他,26,(主幹)親,1.0,3.0,KM-NCT-400A,5200.0,2.0,10400.0,,,,
482.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,400,研磨,26,(主幹)親,1.0,3.0,KM-NCT-400A,5200.0,2.0,10400.0,,,,
483.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,75,ADG400N,12,,,3.0,,,,,,,,
484.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,75,ﾗｯﾌﾟ室分電盤行,11,,,3.0,,,,,,,,
485.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,50,平研,6,,,3.0,,,,,,,,
486.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,ﾚｰｻﾞｰ切断,5,,,3.0,,,,,,,,
487.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,ﾚｰｻﾞｰ印字機2号機,4,,,3.0,,,,,,,,
488.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,20,ﾌﾞﾗｼ研磨機,5,,,3.0,,,,,,,,
489.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,40,A105,5,,,3.0,,,,,,,,
490.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,1.0,20,GIG-4消火設備,4,,,2.0,,,,,,,,
491.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,60,APX101,9,,,3.0,,,,,,,,
492.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,50,Neｶﾞｽﾌﾞｰｽﾀｰ,6,,,3.0,,,,,,,,
493.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,1.0,50,連続炉,5,,,2.0,,,,,,,,
494.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,連続炉ﾁﾗｰ,5,,,3.0,,,,,,,,
495.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,50,両頭研削盤(富士産機),9,,,3.0,,,,,,,,
496.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,STA,5,,,3.0,,,,,,,,
497.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,50,GIG-21 4号機,6,,,3.0,,,,,,,,
498.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,50,FLEX200,6,,,3.0,,,,,,,,
499.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,2F休憩室(2行下へ),5,,,3.0,,,,,,,,
500.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,あり,,200,3.0,150,MG30,11,,,3.0,,,,,,,,
501.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,2F休憩室空調電源,5,,,3.0,,,,,,,,
502.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,125,APX101､GIG消火､A105の親ﾌﾞﾚｰｶｰ,11,,,3.0,,,,,,,,
503.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,60,AP200L,11,,,3.0,,,,,,,,
504.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,60,AP250L,6,,,3.0,,,,,,,,
505.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,ろう付室200Vｺﾝｾﾝﾄ2,4,,,3.0,,,,,,,,
506.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,20,FD01201砥石整形機,4,,,3.0,,,,,,,,
507.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,20,ろう付室200Vｺﾝｾﾝﾄ1,4,,,3.0,,,,,,,,
508.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,なし,なし,,,3.0,,,,,,,,
509.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,手動C面加工機用ﾐｽﾄﾚｰｻｰ,3,,,3.0,,,,,,,,
510.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,60,AP460-1,6,,,3.0,,,,,,,,
511.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,60,HORB-25,6,,,3.0,,,,,,,,
512.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,15,OFU-1給気ﾌｧﾝﾕﾆｯﾄ,4.5,,,3.0,,,,,,,,
513.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,15,HF-1排気ﾌｧﾝ,4.5,,,3.0,,,,,,,,
514.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,15,EF-2排気ﾌｧﾝ,4.5,,,3.0,,,,,,,,
515.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,15,EF-3排気ﾌｧﾝ,4.5,未使用,,3.0,,,,,,,,
516.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,15,EF-4排気ﾌｧﾝ,4.5,,,3.0,,,,,,,,
517.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,STB001湿式ﾌﾞﾗｼ#2,5,,,3.0,,,,,,,,
518.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,ろう付ｾｯﾄ装置,4,,,3.0,,,,,,,,
519.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,75,200Vｺﾝｾﾝﾄ親,8,,,3.0,,,,,,,,
520.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,60,AP460-3,12,,,3.0,,,,,,,,
521.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,150,"AP200L,AP250Lの親",12,,,3.0,,,,,,,,
522.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,125,"AP460-1,HORB-25の親",12,,,3.0,,,,,,,,
523.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,225,PAC-1空調機,14,,,3.0,,,,,,,,
524.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,1.0,15,研削液用ﾎﾟﾝﾌﾟ,4,未使用?,,2.0,,,,,,,,
525.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,20,集塵機用ｺﾝｾﾝﾄ,4,,,3.0,,,,,,,,
526.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,60,手動C面加工機用2台[1/2],4,,,3.0,,,,,,,,
526.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,60,手動C面加工機用2台[2/2],4,,,3.0,,,,,,,,
527.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,100,真空炉,11,,,3.0,,,,,,,,
528.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,ﾀﾞｲｷﾝ野外分電盤(空調盤),5,,,3.0,,,,,,,,
529.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,60,AP460-2,9,,,3.0,,,,,,,,
530.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,ﾌｧﾝ盤,5,,,3.0,,,,,,,,
531.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,20,排熱ﾀﾞｸﾄ盤,4,,,3.0,,,,,,,,
532.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,50,自動C面機#3,5,,,3.0,,,,,,,,
533.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,50,自動C面機#2,5,,,3.0,,,,,,,,
534.0,3-3,2.0,CBN加工室,CBN,9~13,M33-2F,,なし,,200,3.0,30,ｷｰｴﾝｽﾚｰｻﾞｰ,6,,,3.0,,,,,,,,
712.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,400,主幹,25,,1.0,3.0,KM-NCT-400A,5200.0,2.0,10400.0,,,,
713.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,50,天井巻き上げ,5,OFF,,3.0,,,,,,,,
714.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,50,天井巻き上げ,5,OFF,,3.0,,,,,,,,
715.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,50,天井巻き上げ,5,OFF,,3.0,,,,,,,,
716.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,50,天井巻き上げ,5,OFF,,3.0,,,,,,,,
717.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,20,天井巻き上げ,5,OFF,,3.0,,,,,,,,
718.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,50,天井巻き上げ,5,OFF,,3.0,,,,,,,,
719.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,50,天井巻き上げ,5,OFF,,3.0,,,,,,,,
720.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,50,天井巻き上げ,5,OFF,,3.0,,,,,,,,
721.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,50,天井巻き上げ,5,OFF,,3.0,,,,,,,,
722.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,30,天井巻き上げ,5,OFF,,3.0,,,,,,,,
723.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,50,天井巻き上げ,5,OFF,,3.0,,,,,,,,
724.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,30,天井巻き上げ,5,OFF,,3.0,,,,,,,,
725.0,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33,M33-3(再研),,あり,,200,3.0,30,天井巻き上げ,5,OFF,,3.0,,,,,,,,
673.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,800,主幹,25,2本,1.0,3.0,KM-NCT-600A,5200.0,2.0,10400.0,,,,
674.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,200,MG25,11.7,OFF,,3.0,,,,,,,,
675.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,75,GAE-30B,9.7,OFF,,3.0,,,,,,,,
676.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,GRI,なし,OFF,,3.0,,,,,,,,
677.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,GRI2,なし,OFF,,3.0,,,,,,,,
678.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
679.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
680.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
681.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
682.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,温洗機,なし,OFF,,3.0,,,,,,,,
683.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,ﾁﾗｰ･濾過,5,OFF,,3.0,,,,,,,,
684.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
685.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
686.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
687.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
688.0,3-3,3.0,再研磨MT室,品証,34,M33-31(NT),,あり,,200,3.0,50,ｸｰﾗﾝﾄ吐出測定器,5,,,3.0,,,,,,,,
689.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,1.0,50,SLD10,3.8,OFF,,2.0,,,,,,,,
690.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,ﾌﾞﾗｽﾄ装置,なし,OFF,,3.0,,,,,,,,
691.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
692.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
693.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
694.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
695.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
696.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,なし,なし,OFF,,3.0,,,,,,,,
697.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,15,HC洗浄機ﾌｧﾝ,4,OFF,,3.0,,,,,,,,
698.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,50,予備ｹｰﾌﾞﾙ2,5,OFF、天井巻き上げ,,3.0,,,,,,,,
699.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,30,予備ｹｰﾌﾞﾙ1,5,OFF、天井巻き上げ,,3.0,,,,,,,,
700.0,3-3,3.0,再研磨MT室,,34,M33-31(NT),,あり,,200,3.0,30,ﾊﾞﾚﾙ機 MBF-330NC,なし,OFF,,3.0,,,,,,,,
